entry_date,ticker,name,prob,ma5_signal,entry_price,exit_date,exit_price,return,win
2026-03-15,4194,ビジョナル,0.716,🔼抜け,0.0,2026-03-22,,,
2026-03-15,6758,ソニーグループ,0.672,📈上,0.0,2026-03-22,,,
2026-03-15,4393,バンク・オブ・イノベーション,0.67,📈上,0.0,2026-03-22,,,
2026-03-15,4259,エクサウィザーズ,0.62,🔼抜け,0.0,2026-03-22,,,
2026-03-15,5741,UACJ,0.599,📈上,0.0,2026-03-22,,,
2026-03-15,4194,ビジョナル,0.716,🔼抜け,0.0,2026-03-22,,,
2026-03-15,6758,ソニーグループ,0.672,📈上,0.0,2026-03-22,,,
2026-03-15,4393,バンク・オブ・イノベーション,0.67,📈上,0.0,2026-03-22,,,
2026-03-15,4259,エクサウィザーズ,0.62,🔼抜け,0.0,2026-03-22,,,
2026-03-15,5741,UACJ,0.599,📈上,0.0,2026-03-22,,,
2026-03-16,4417,グローバルセキュリティエキスパート,0.624,🔼抜け,2460.0,2026-03-23,,,
2026-03-16,4377.T,4377.T,0.742,,0.0,2026-03-23,,,
2026-03-16,5027.T,5027.T,0.728,,0.0,2026-03-23,,,
2026-03-16,4180.T,4180.T,0.719,,0.0,2026-03-23,,,
2026-03-16,4377.T,ワンキャリア,0.742,,0.0,2026-03-23,,,
2026-03-16,5027.T,AnyMind Group,0.728,,0.0,2026-03-23,,,
2026-03-16,4180.T,Appier Group,0.719,,0.0,2026-03-23,,,
